hospitalName,streetAddress,city,state,postalCode,phoneNo
Sanford Health,20 W Centennial 84 Dr,New York Mills,MN,56567,218-385-1800
Concentra Urgent Care,6701 Bergenline Avenue,West New York,NJ,7093,201-758-9100
VA Kingston Clinic,63 Hurley Ave.,Kingston,NY,12401-2832,845-331-8322
PM Pediatrics,239 Middle Country Road,Selden,NY,11784,631-696-5437
Urgent Care of Westchester,155 White Plains Rd. Suite 101,Tarrytown,NY,10591-5563,913-372-7171
MDxpress Urgent Care,1030 W Boston Post Rd,Mamaroneck,NY,10543-3328,914-777-2273
Urgent Care Center - NY,26232 US Route 11,Evans Mills,NY,13637,315-629-1304
Wilton Family Medicine,135 North Rd.,Wilton,NY,12831,518-926-1935
Urgent Care Center,37 West Garden Street,Auburn,NY,13021,315-252-0000
Crystal Run Urgent Care - Rock Hill,61 Emerald Pl,Rock Hill,NY,12775-6049,845-794-6999
StatHealth Urgent Care,4724 Nesconset Hwy.,Port Jefferson Station,NY,11776-2580,631-474-5900
Palisades Urgent Care,256 East Route 59,Nanuet,NY,10954,845-624-2273
FirstMed: Immediate Care,19120 Northern Blvd.,Flushing,NY,11358-2829,718-224-8855
Preferred Care Gold,220 Alexander St.,Rochester,NY,14607-4002,
Emergency One Urgent Care,40 Hurley Ave. Suite 4,Kingston,NY,12401-3738,845-338-5600
MASH Urgent Care,3190 Niagara Falls Boulevard,Amherst,NY,14228,716-799-8190
Prime Columbia Greene Medical,159 Jefferson Hts. Suite D107,Catskill,NY,12414-1205,518-943-1442
VA Goshen Clinic,30 Hatfield Ln. Suite 204,Goshen,NY,10924-6768,845-294-6927
Middletown Medical Urgent Care,111 Maltese Dr.,Middletown,NY,10940-2141,845-342-4774
Springville Primary Care,27 Franklin St. Suite 1,Springville,NY,14141-1375,716-592-7400
Franklin Immediate Medical,30 Franklin Ave.,Franklin Square,NY,11010-2527,516-352-0253
Pediatric Immediate Care,1077 W Jericho Tpke.,Smithtown,NY,11787-3204,631-864-7337
Express Pediatrics Urgent Care,1989 Route 52 Suite 3,Hopewell Junction,NY,12533-3533,845-897-4500
Omni Medical Care,1400 Route 300,Newburgh,NY,12550-2995,
MinuteClinic,375 White Plains Rd,Eastchester,NY,10709,866-389-2727
Urgent Medical Care of Skaneateles,803 Genesee Street (Route 20),Skaneateles,NY,13152,315-685-9355
South Nassau Urgent Care Center at Long Beach,325 E. Bay Drive,Long Beach,NY,11561,516-870-1010
MDxpress Urgent Care,388 Tarrytown Rd.,White Plains,NY,10607,914-997-2273
Urgent Care - Amsterdam,4988 State Highway 30,Amsterdam,NY,12010-7520,518-841-3600
Five Star Urgent Care,8003 Route 11,Cicero,NY,13039,315-288-4006
